x,y,z,r,g,b
0.0738,0.4817,0.2608,163,151,162
0.0734,0.4810,0.2611,163,151,162
0.0718,0.4813,0.2611,163,151,162
0.0728,0.4827,0.2592,163,151,162
0.0739,0.4831,0.2627,163,151,162
0.0758,0.4822,0.2622,163,151,162
0.0740,0.4841,0.2614,163,151,162
0.0718,0.4822,0.2593,163,151,162
0.0728,0.4817,0.2584,163,151,162
0.0757,0.4831,0.2619,163,151,162
0.0746,0.4791,0.2613,163,151,162
0.0758,0.4835,0.2618,163,151,162
0.0715,0.4827,0.2621,163,151,162
0.0756,0.4842,0.2607,163,151,162
0.0757,0.4834,0.2625,163,151,162
0.0752,0.4832,0.2584,163,151,162
0.0756,0.4838,0.2624,163,151,162
0.0769,0.4796,0.2607,163,151,162
0.0756,0.4839,0.2631,163,151,162
0.0765,0.4841,0.2612,163,151,162
0.0710,0.4822,0.2585,163,151,162
0.0755,0.4848,0.2619,163,151,162
0.0762,0.4793,0.2629,163,151,162
0.0700,0.4826,0.2596,163,151,162
0.0769,0.4844,0.2616,163,151,162
0.0758,0.4853,0.2615,163,151,162
0.0738,0.4848,0.2636,163,151,162
0.0763,0.4783,0.2621,163,151,162
0.0768,0.4847,0.2623,163,151,162
0.0704,0.4845,0.2600,163,151,162
0.0696,0.4824,0.2593,163,151,162
0.0763,0.4835,0.2642,163,151,162
0.0694,0.4820,0.2592,163,151,162
0.0694,0.4797,0.2614,163,151,162
0.0698,0.4790,0.2617,163,151,162
0.0700,0.4823,0.2637,163,151,162
0.0694,0.4795,0.2615,163,151,162
0.0758,0.4847,0.2643,163,151,162
0.0788,0.4804,0.2607,163,151,162
0.0749,0.4812,0.2557,163,151,162
0.0730,0.4813,0.2659,163,151,162
0.0768,0.4817,0.2652,163,151,162
0.0766,0.4774,0.2628,163,151,162
0.0772,0.4811,0.2651,163,151,162
0.0775,0.4848,0.2634,163,151,162
0.0728,0.4863,0.2579,163,151,162
0.0705,0.4797,0.2647,163,151,162
0.0753,0.4813,0.2553,163,151,162
0.0762,0.4867,0.2593,163,151,162
0.0754,0.4778,0.2568,163,151,162
0.0792,0.4795,0.2615,163,151,162
0.0738,0.4875,0.2612,163,151,162
0.0757,0.4809,0.2663,163,151,162
0.0766,0.4786,0.2565,163,151,162
0.0762,0.4869,0.2592,163,151,162
0.0745,0.4764,0.2579,163,151,162
0.0790,0.4833,0.2638,163,151,162
0.0706,0.4773,0.2579,163,151,162
0.0677,0.4807,0.2602,163,151,162
0.0764,0.4871,0.2594,163,151,162
0.0761,0.4815,0.2549,163,151,162
0.0701,0.4814,0.2659,163,151,162
0.0752,0.4781,0.2556,163,151,162
0.0712,0.4829,0.2550,163,151,162
0.0753,0.4774,0.2561,163,151,162
0.0776,0.4868,0.2623,163,151,162
0.0713,0.4861,0.2650,163,151,162
0.0766,0.4787,0.2555,163,151,162
0.0725,0.4820,0.2543,163,151,162
0.0729,0.4847,0.2666,163,151,162
0.0680,0.4794,0.2584,163,151,162
0.0694,0.4774,0.2581,163,151,162
0.0725,0.4751,0.2612,163,151,162
0.0717,0.4853,0.2660,163,151,162
0.0734,0.4858,0.2555,163,151,162
0.0696,0.4808,0.2660,163,151,162
0.0799,0.4829,0.2636,163,151,162
0.0773,0.4873,0.2625,163,151,162
0.0760,0.4802,0.2544,163,151,162
0.0759,0.4797,0.2544,163,151,162
0.0715,0.4864,0.2653,163,151,162
0.0690,0.4767,0.2617,163,151,162
0.0793,0.4782,0.2579,163,151,162
0.0754,0.4753,0.2583,163,151,162
0.0712,0.4828,0.2672,163,151,162
0.0751,0.4777,0.2550,163,151,162
0.0710,0.4872,0.2642,163,151,162
0.0793,0.4779,0.2582,163,151,162
0.0714,0.4772,0.2557,163,151,162
0.0795,0.4785,0.2578,163,151,162
0.0788,0.4818,0.2659,163,151,162
0.0754,0.4810,0.2538,163,151,162
0.0694,0.4872,0.2621,163,151,162
0.0796,0.4781,0.2582,163,151,162
0.0707,0.4805,0.2672,163,151,162
0.0694,0.4759,0.2605,163,151,162
0.0791,0.4777,0.2576,163,151,162
0.0674,0.4810,0.2640,163,151,162
0.0792,0.4780,0.2575,163,151,162
0.0783,0.4874,0.2613,163,151,162
0.0732,0.4859,0.2548,163,151,162
0.0737,0.4756,0.2567,163,151,162
0.0732,0.4837,0.2678,163,151,162
0.0696,0.4760,0.2629,163,151,162
0.0704,0.4751,0.2612,163,151,162
0.0694,0.4801,0.2666,163,151,162
0.0712,0.4813,0.2678,163,151,162
0.0720,0.4751,0.2576,163,151,162
0.0723,0.4855,0.2671,163,151,162
0.0676,0.4775,0.2609,163,151,162
0.0683,0.4767,0.2622,163,151,162
0.0718,0.4790,0.2540,163,151,162
0.0709,0.4759,0.2568,163,151,162
0.0686,0.4763,0.2594,163,151,162
0.0755,0.4849,0.2675,163,151,162
0.0754,0.4860,0.2668,163,151,162
0.0698,0.4755,0.2589,163,151,162
0.0717,0.4784,0.2542,163,151,162
0.0723,0.4844,0.2678,163,151,162
0.0679,0.4768,0.2605,163,151,162
0.0677,0.4808,0.2653,163,151,162
0.0707,0.4759,0.2648,163,151,162
0.0725,0.4744,0.2630,163,151,162
0.0722,0.4872,0.2659,163,151,162
0.0722,0.4871,0.2661,163,151,162
0.0764,0.4754,0.2569,163,151,162
0.0712,0.4874,0.2654,163,151,162
0.0754,0.4860,0.2671,163,151,162
0.0757,0.4878,0.2654,163,151,162
0.0749,0.4886,0.2570,163,151,162
0.0815,0.4837,0.2598,163,151,162
0.0691,0.4819,0.2544,163,151,162
0.0687,0.4857,0.2653,163,151,162
0.0731,0.4858,0.2540,163,151,162
0.0725,0.4847,0.2681,163,151,162
0.0674,0.4769,0.2603,163,151,162
0.0804,0.4827,0.2653,163,151,162
0.0780,0.4886,0.2608,163,151,162
0.0707,0.4744,0.2623,163,151,162
0.0681,0.4769,0.2576,163,151,162
0.0758,0.4853,0.2678,163,151,162
0.0744,0.4761,0.2548,163,151,162
0.0820,0.4806,0.2618,163,151,162
0.0759,0.4842,0.2684,163,151,162
0.0725,0.4836,0.2687,163,151,162
0.0712,0.4815,0.2529,163,151,162
0.0670,0.4811,0.2654,163,151,162
0.0761,0.4781,0.2536,163,151,162
0.0660,0.4815,0.2579,163,151,162
0.0764,0.4764,0.2548,163,151,162
0.0752,0.4741,0.2575,163,151,162
0.0817,0.4809,0.2578,163,151,162
0.0741,0.4757,0.2548,163,151,162
0.0699,0.4797,0.2536,163,151,162
0.0808,0.4864,0.2613,163,151,162
0.0794,0.4854,0.2661,163,151,162
0.0755,0.4756,0.2550,163,151,162
0.0800,0.4766,0.2577,163,151,162
0.0798,0.4868,0.2641,163,151,162
0.0802,0.4852,0.2653,163,151,162
0.0718,0.4804,0.2690,163,151,162
0.0818,0.4832,0.2637,163,151,162
0.0706,0.4858,0.2675,163,151,162
0.0706,0.4743,0.2578,163,151,162
0.0762,0.4769,0.2540,163,151,162
0.0683,0.4766,0.2649,163,151,162
0.0679,0.4758,0.2629,163,151,162
0.0722,0.4888,0.2562,163,151,162
0.0797,0.4863,0.2652,163,151,162
0.0691,0.4758,0.2564,163,151,162
0.0754,0.4880,0.2551,163,151,162
0.0704,0.4869,0.2669,163,151,162
0.0802,0.4862,0.2648,163,151,162
0.0821,0.4807,0.2579,163,151,162
0.0709,0.4853,0.2683,163,151,162
0.0821,0.4813,0.2576,163,151,162
0.0801,0.4878,0.2593,163,151,162
0.0797,0.4863,0.2655,163,151,162
0.0818,0.4846,0.2584,163,151,162
0.0708,0.4862,0.2678,163,151,162
0.0709,0.4851,0.2684,163,151,162
0.0741,0.4758,0.2541,163,151,162
0.0799,0.4877,0.2631,163,151,162
0.0823,0.4799,0.2630,163,151,162
0.0700,0.4867,0.2671,163,151,162
0.0698,0.4816,0.2528,163,151,162
0.0718,0.4845,0.2690,163,151,162
0.0766,0.4742,0.2567,163,151,162
0.0761,0.4900,0.2584,163,151,162
0.0721,0.4891,0.2559,163,151,162
0.0673,0.4871,0.2637,163,151,162
0.0708,0.4867,0.2539,163,151,162
0.0673,0.4855,0.2657,163,151,162
0.0826,0.4797,0.2625,163,151,162
0.0669,0.4871,0.2634,163,151,162
0.0778,0.4804,0.2690,163,151,162
0.0675,0.4858,0.2660,163,151,162
0.0675,0.4847,0.2668,163,151,162
0.0825,0.4811,0.2577,163,151,162
0.0827,0.4844,0.2605,163,151,162
0.0671,0.4766,0.2646,163,151,162
0.0672,0.4866,0.2649,163,151,162
0.0805,0.4878,0.2630,163,151,162
0.0718,0.4809,0.2517,163,151,162
0.0688,0.4738,0.2602,163,151,162
0.0801,0.4881,0.2633,163,151,162
0.0767,0.4848,0.2692,163,151,162
0.0708,0.4739,0.2563,163,151,162
0.0710,0.4758,0.2676,163,151,162
0.0685,0.4770,0.2671,163,151,162
0.0699,0.4738,0.2572,163,151,162
0.0688,0.4791,0.2532,163,151,162
0.0788,0.4749,0.2564,163,151,162
0.0726,0.4756,0.2680,163,151,162
0.0784,0.4897,0.2630,163,151,162
0.0751,0.4795,0.2700,163,151,162
0.0795,0.4847,0.2537,163,151,162
0.0725,0.4725,0.2585,163,151,162
0.0761,0.4866,0.2686,163,151,162
0.0759,0.4755,0.2537,163,151,162
0.0714,0.4897,0.2653,163,151,162
0.0731,0.4725,0.2581,163,151,162
0.0685,0.4756,0.2556,163,151,162
0.0716,0.4789,0.2697,163,151,162
0.0701,0.4898,0.2643,163,151,162
0.0649,0.4783,0.2600,163,151,162
0.0755,0.4758,0.2533,163,151,162
0.0684,0.4836,0.2685,163,151,162
0.0735,0.4756,0.2682,163,151,162
0.0733,0.4894,0.2550,163,151,162
0.0832,0.4811,0.2580,163,151,162
0.0766,0.4765,0.2530,163,151,162
0.0699,0.4757,0.2674,163,151,162
0.0818,0.4766,0.2583,163,151,162
0.0809,0.4883,0.2615,163,151,162
0.0658,0.4782,0.2651,163,151,162
0.0685,0.4827,0.2526,163,151,162
0.0714,0.4751,0.2539,163,151,162
0.0829,0.4790,0.2637,163,151,162
