x,y,z,r,g,b
0.3127,0.6260,0.5611,163,151,162
0.3138,0.6266,0.5606,163,151,162
0.3135,0.6237,0.5615,163,151,162
0.3112,0.6280,0.5620,163,151,162
0.3150,0.6263,0.5624,163,151,162
0.3106,0.6286,0.5605,163,151,162
0.3106,0.6279,0.5590,163,151,162
0.3109,0.6273,0.5582,163,151,162
0.3132,0.6269,0.5646,163,151,162
0.3140,0.6283,0.5573,163,151,162
0.3132,0.6213,0.5615,163,151,162
0.3112,0.6240,0.5569,163,151,162
0.3128,0.6291,0.5573,163,151,162
0.3092,0.6260,0.5646,163,151,162
0.3168,0.6292,0.5615,163,151,162
0.3160,0.6294,0.5590,163,151,162
0.3140,0.6210,0.5630,163,151,162
0.3104,0.6258,0.5662,163,151,162
0.3084,0.6282,0.5642,163,151,162
0.3135,0.6313,0.5587,163,151,162
0.3127,0.6310,0.5643,163,151,162
0.3181,0.6240,0.5598,163,151,162
0.3125,0.6217,0.5654,163,151,162
0.3122,0.6295,0.5662,163,151,162
0.3116,0.6319,0.5593,163,151,162
0.3139,0.6201,0.5635,163,151,162
0.3142,0.6197,0.5606,163,151,162
0.3130,0.6310,0.5568,163,151,162
0.3132,0.6313,0.5650,163,151,162
0.3179,0.6301,0.5613,163,151,162
0.3160,0.6319,0.5623,163,151,162
0.3095,0.6307,0.5569,163,151,162
0.3190,0.6229,0.5608,163,151,162
0.3166,0.6298,0.5566,163,151,162
0.3158,0.6314,0.5645,163,151,162
0.3084,0.6237,0.5663,163,151,162
0.3182,0.6293,0.5581,163,151,162
0.3140,0.6260,0.5540,163,151,162
0.3132,0.6294,0.5674,163,151,162
0.3167,0.6268,0.5551,163,151,162
0.3081,0.6316,0.5599,163,151,162
0.3119,0.6242,0.5682,163,151,162
0.3180,0.6250,0.5662,163,151,162
0.3119,0.6191,0.5583,163,151,162
0.3185,0.6214,0.5605,163,151,162
0.3085,0.6323,0.5614,163,151,162
0.3094,0.6322,0.5640,163,151,162
0.3200,0.6249,0.5631,163,151,162
0.3064,0.6262,0.5656,163,151,162
0.3080,0.6279,0.5552,163,151,162
0.3064,0.6229,0.5649,163,151,162
0.3155,0.6255,0.5685,163,151,162
0.3074,0.6271,0.5670,163,151,162
0.3154,0.6272,0.5536,163,151,162
0.3140,0.6191,0.5571,163,151,162
0.3080,0.6271,0.5677,163,151,162
0.3142,0.6337,0.5636,163,151,162
0.3151,0.6338,0.5622,163,151,162
0.3062,0.6244,0.5660,163,151,162
0.3182,0.6300,0.5563,163,151,162
0.3056,0.6225,0.5642,163,151,162
0.3159,0.6183,0.5626,163,151,162
0.3188,0.6236,0.5665,163,151,162
0.3071,0.6326,0.5607,163,151,162
0.3057,0.6310,0.5598,163,151,162
0.3117,0.6345,0.5627,163,151,162
0.3060,0.6272,0.5556,163,151,162
0.3184,0.6315,0.5572,163,151,162
0.3159,0.6343,0.5613,163,151,162
0.3190,0.6202,0.5633,163,151,162
0.3203,0.6214,0.5601,163,151,162
0.3209,0.6291,0.5589,163,151,162
0.3120,0.6343,0.5646,163,151,162
0.3119,0.6350,0.5601,163,151,162
0.3174,0.6273,0.5533,163,151,162
0.3160,0.6245,0.5695,163,151,162
0.3128,0.6184,0.5558,163,151,162
0.3096,0.6217,0.5687,163,151,162
0.3217,0.6237,0.5602,163,151,162
0.3067,0.6262,0.5684,163,151,162
0.3108,0.6257,0.5518,163,151,162
0.3168,0.6332,0.5565,163,151,162
0.3164,0.6307,0.5538,163,151,162
0.3198,0.6253,0.5674,163,151,162
0.3190,0.6262,0.5540,163,151,162
0.3191,0.6196,0.5643,163,151,162
0.3172,0.6343,0.5632,163,151,162
0.3099,0.6309,0.5531,163,151,162
0.3098,0.6345,0.5649,163,151,162
0.3209,0.6280,0.5562,163,151,162
0.3061,0.6259,0.5538,163,151,162
0.3049,0.6239,0.5667,163,151,162
0.3169,0.6349,0.5599,163,151,162
0.3210,0.6260,0.5556,163,151,162
0.3206,0.6274,0.5670,163,151,162
0.3124,0.6236,0.5708,163,151,162
0.3162,0.6345,0.5651,163,151,162
0.3196,0.6281,0.5542,163,151,162
0.3202,0.6194,0.5596,163,151,162
0.3157,0.6357,0.5616,163,151,162
0.3133,0.6358,0.5583,163,151,162
0.3204,0.6284,0.5548,163,151,162
0.3030,0.6295,0.5617,163,151,162
0.3208,0.6311,0.5573,163,151,162
0.3031,0.6273,0.5651,163,151,162
0.3142,0.6305,0.5518,163,151,162
0.3174,0.6354,0.5613,163,151,162
0.3025,0.6283,0.5592,163,151,162
0.3065,0.6241,0.5694,163,151,162
0.3178,0.6305,0.5529,163,151,162
0.3049,0.6297,0.5547,163,151,162
0.3021,0.6256,0.5595,163,151,162
0.3224,0.6303,0.5598,163,151,162
0.3037,0.6313,0.5586,163,151,162
0.3163,0.6243,0.5711,163,151,162
0.3224,0.6246,0.5565,163,151,162
0.3222,0.6308,0.5591,163,151,162
0.3053,0.6314,0.5550,163,151,162
0.3183,0.6296,0.5698,163,151,162
0.3207,0.6315,0.5560,163,151,162
0.3030,0.6291,0.5569,163,151,162
0.3099,0.6187,0.5690,163,151,162
0.3229,0.6275,0.5568,163,151,162
0.3234,0.6258,0.5641,163,151,162
0.3112,0.6219,0.5714,163,151,162
0.3025,0.6274,0.5565,163,151,162
0.3173,0.6243,0.5712,163,151,162
0.3049,0.6235,0.5689,163,151,162
0.3040,0.6332,0.5620,163,151,162
0.3161,0.6260,0.5503,163,151,162
0.3041,0.6282,0.5539,163,151,162
0.3191,0.6354,0.5618,163,151,162
0.3192,0.6347,0.5643,163,151,162
0.3201,0.6251,0.5697,163,151,162
0.3022,0.6239,0.5653,163,151,162
0.3127,0.6375,0.5597,163,151,162
0.3222,0.6325,0.5622,163,151,162
0.3231,0.6301,0.5581,163,151,162
0.3148,0.6284,0.5498,163,151,162
0.3209,0.6297,0.5536,163,151,162
0.3186,0.6247,0.5510,163,151,162
0.3235,0.6254,0.5565,163,151,162
0.3104,0.6320,0.5511,163,151,162
0.3166,0.6290,0.5718,163,151,162
0.3178,0.6258,0.5717,163,151,162
0.3136,0.6350,0.5689,163,151,162
0.3217,0.6324,0.5567,163,151,162
0.3043,0.6202,0.5546,163,151,162
0.3088,0.6180,0.5528,163,151,162
0.3222,0.6284,0.5540,163,151,162
0.3014,0.6236,0.5648,163,151,162
0.3194,0.6361,0.5622,163,151,162
0.3169,0.6374,0.5629,163,151,162
0.3061,0.6341,0.5676,163,151,162
0.3185,0.6247,0.5718,163,151,162
0.3221,0.6310,0.5549,163,151,162
0.3159,0.6336,0.5702,163,151,162
0.3230,0.6315,0.5570,163,151,162
0.3040,0.6322,0.5548,163,151,162
0.3237,0.6278,0.5664,163,151,162
0.3120,0.6317,0.5720,163,151,162
0.3148,0.6165,0.5688,163,151,162
0.3176,0.6146,0.5615,163,151,162
0.3170,0.6277,0.5726,163,151,162
0.3036,0.6342,0.5586,163,151,162
0.3044,0.6215,0.5694,163,151,162
0.3198,0.6201,0.5527,163,151,162
0.3046,0.6352,0.5639,163,151,162
0.3214,0.6328,0.5673,163,151,162
0.3170,0.6236,0.5493,163,151,162
0.3152,0.6157,0.5683,163,151,162
0.3002,0.6239,0.5633,163,151,162
0.3215,0.6204,0.5685,163,151,162
0.3219,0.6281,0.5522,163,151,162
0.3009,0.6225,0.5652,163,151,162
0.3151,0.6219,0.5489,163,151,162
