x,y,z,r,g,b
0.5813,0.7406,0.8428,163,151,162
0.5837,0.7393,0.8448,163,151,162
0.5776,0.7384,0.8438,163,151,162
0.5777,0.7385,0.8447,163,151,162
0.5804,0.7420,0.8472,163,151,162
0.5764,0.7417,0.8427,163,151,162
0.5757,0.7399,0.8418,163,151,162
0.5842,0.7459,0.8444,163,151,162
0.5824,0.7406,0.8489,163,151,162
0.5799,0.7355,0.8461,163,151,162
0.5798,0.7418,0.8366,163,151,162
0.5848,0.7373,0.8471,163,151,162
0.5748,0.7407,0.8437,163,151,162
0.5865,0.7444,0.8451,163,151,162
0.5747,0.7425,0.8422,163,151,162
0.5764,0.7402,0.8370,163,151,162
0.5741,0.7424,0.8445,163,151,162
0.5757,0.7451,0.8457,163,151,162
0.5822,0.7487,0.8440,163,151,162
0.5845,0.7329,0.8444,163,151,162
0.5879,0.7447,0.8380,163,151,162
0.5733,0.7362,0.8425,163,151,162
0.5904,0.7427,0.8427,163,151,162
0.5721,0.7427,0.8418,163,151,162
0.5803,0.7311,0.8437,163,151,162
0.5899,0.7363,0.8437,163,151,162
0.5743,0.7419,0.8360,163,151,162
0.5757,0.7405,0.8508,163,151,162
0.5867,0.7325,0.8450,163,151,162
0.5826,0.7501,0.8395,163,151,162
0.5770,0.7393,0.8518,163,151,162
0.5763,0.7320,0.8412,163,151,162
0.5809,0.7405,0.8326,163,151,162
0.5865,0.7475,0.8484,163,151,162
0.5796,0.7305,0.8427,163,151,162
0.5774,0.7310,0.8423,163,151,162
0.5898,0.7347,0.8435,163,151,162
0.5822,0.7302,0.8434,163,151,162
0.5826,0.7501,0.8473,163,151,162
0.5890,0.7447,0.8488,163,151,162
0.5849,0.7366,0.8519,163,151,162
0.5732,0.7405,0.8497,163,151,162
0.5877,0.7318,0.8437,163,151,162
0.5753,0.7317,0.8406,163,151,162
0.5775,0.7390,0.8325,163,151,162
0.5843,0.7299,0.8439,163,151,162
0.5780,0.7316,0.8485,163,151,162
0.5735,0.7485,0.8403,163,151,162
0.5748,0.7342,0.8359,163,151,162
0.5781,0.7369,0.8531,163,151,162
0.5721,0.7339,0.8437,163,151,162
0.5773,0.7393,0.8321,163,151,162
0.5738,0.7352,0.8496,163,151,162
0.5761,0.7363,0.8335,163,151,162
0.5878,0.7321,0.8472,163,151,162
0.5763,0.7303,0.8450,163,151,162
0.5928,0.7428,0.8412,163,151,162
0.5777,0.7512,0.8468,163,151,162
0.5863,0.7494,0.8364,163,151,162
0.5748,0.7334,0.8500,163,151,162
0.5900,0.7487,0.8454,163,151,162
0.5867,0.7307,0.8471,163,151,162
0.5775,0.7521,0.8444,163,151,162
0.5779,0.7289,0.8429,163,151,162
0.5789,0.7295,0.8379,163,151,162
0.5745,0.7316,0.8376,163,151,162
0.5915,0.7477,0.8440,163,151,162
0.5712,0.7471,0.8464,163,151,162
0.5857,0.7291,0.8401,163,151,162
0.5895,0.7451,0.8343,163,151,162
0.5710,0.7479,0.8434,163,151,162
0.5704,0.7402,0.8494,163,151,162
0.5913,0.7479,0.8392,163,151,162
0.5932,0.7443,0.8462,163,151,162
0.5780,0.7286,0.8392,163,151,162
0.5749,0.7296,0.8406,163,151,162
0.5763,0.7515,0.8478,163,151,162
0.5789,0.7525,0.8479,163,151,162
0.5775,0.7280,0.8418,163,151,162
0.5700,0.7368,0.8370,163,151,162
0.5922,0.7476,0.8391,163,151,162
0.5941,0.7392,0.8388,163,151,162
0.5697,0.7396,0.8358,163,151,162
0.5688,0.7357,0.8451,163,151,162
0.5882,0.7298,0.8476,163,151,162
0.5754,0.7284,0.8414,163,151,162
0.5831,0.7277,0.8470,163,151,162
0.5751,0.7527,0.8406,163,151,162
0.5871,0.7376,0.8549,163,151,162
0.5905,0.7332,0.8499,163,151,162
0.5768,0.7419,0.8297,163,151,162
0.5705,0.7361,0.8353,163,151,162
0.5768,0.7514,0.8353,163,151,162
0.5732,0.7403,0.8541,163,151,162
0.5765,0.7425,0.8298,163,151,162
0.5904,0.7496,0.8484,163,151,162
0.5740,0.7289,0.8400,163,151,162
0.5770,0.7539,0.8451,163,151,162
0.5759,0.7384,0.8556,163,151,162
0.5826,0.7541,0.8470,163,151,162
0.5711,0.7335,0.8359,163,151,162
0.5751,0.7459,0.8544,163,151,162
0.5763,0.7508,0.8342,163,151,162
0.5794,0.7547,0.8435,163,151,162
0.5756,0.7503,0.8337,163,151,162
0.5936,0.7480,0.8416,163,151,162
0.5895,0.7512,0.8483,163,151,162
0.5886,0.7482,0.8327,163,151,162
0.5825,0.7337,0.8555,163,151,162
